datetime,rpm,voltage,current
1678520306584025,81.30807206182637,6.96,0.5581939183291014
1678520306595222,81.30807206182637,6.96,2.3280770740067407
1678520306606644,81.30807206182637,6.96,4.315792002690865
1678520306618235,81.30807206182637,6.96,7.011460193646037
1678520306629624,81.30807206182637,6.96,9.108091008833402
1678520306640786,81.30807206182637,6.96,10.496768561749699
1678520306652274,81.30807206182637,6.96,11.994362001169245
1678520306663545,81.30807206182637,6.96,13.328581610833924
1678520306674924,7.634922085387702,6.96,14.662801220498613
1678520306686198,7.634922085387702,6.96,15.942562886911672
1678520306697584,7.634922085387702,6.96,17.222324553324736
1678520306709133,7.634922085387702,6.96,19.07389462387981
1678520306720462,7.634922085387702,6.96,21.143296467441356
1678520306731782,7.634922085387702,6.96,22.45028710548023
1678520306742979,210.9591558221647,6.96,23.484988027261007
1678520306754378,210.9591558221647,6.96,24.43800203416435
1678520306765678,210.9591558221647,6.96,25.445473984319317
1678520306777054,210.9591558221647,6.96,26.344030047971042
1678520306788280,210.9591558221647,6.96,27.269815083248574
1678520306799651,299.86301957476013,6.96,27.868852459016395
1678520306811072,299.86301957476013,6.96,27.868852459016395
1678520306822385,299.86301957476013,6.96,27.868852459016395
1678520306833788,299.86301957476013,6.96,27.868852459016395
1678520306845145,358.9559025737287,6.96,27.868852459016395
1678520306856499,358.9559025737287,6.96,27.868852459016395
1678520306867701,358.9559025737287,6.96,27.868852459016395
1678520306879148,409.3468232538469,6.96,27.868852459016395
1678520306890425,409.3468232538469,6.96,27.868852459016395
1678520306901821,409.3468232538469,6.96,27.868852459016395
1678520306913149,448.1030184755203,6.96,27.868852459016395
1678520306924511,448.1030184755203,6.96,27.868852459016395
1678520306935696,448.1030184755203,6.96,27.868852459016395
1678520306947089,475.39734473821414,6.96,27.868852459016395
1678520306958864,475.39734473821414,6.96,27.868852459016395
1678520306970115,493.509460010668,6.96,27.868852459016395
1678520306981523,493.509460010668,6.96,27.868852459016395
1678520306992670,493.509460010668,6.96,27.868852459016395
1678520307004121,536.8365544605145,6.96,27.868852459016395
1678520307015495,536.8365544605145,6.96,27.868852459016395
1678520307026921,543.6416424720034,6.96,27.868852459016395
1678520307038192,543.6416424720034,6.96,27.868852459016395
1678520307049603,543.6416424720034,6.96,27.868852459016395
1678520307061233,601.2362149041494,6.96,27.868852459016395
1678520307072528,601.2362149041494,6.96,27.868852459016395
1678520307083897,579.8416633641466,6.96,27.868852459016395
1678520307095167,579.8416633641466,6.96,27.868852459016395
1678520307106564,646.0992441669405,6.96,27.868852459016395
1678520307117878,646.0992441669405,6.96,27.868852459016395
1678520307129258,607.9406307977737,6.96,27.868852459016395
1678520307140496,607.9406307977737,6.96,27.868852459016395
1678520307151860,637.5807939033413,6.96,27.868852459016395
1678520307163233,637.5807939033413,6.96,27.868852459016395
1678520307174537,650.1788869942644,6.96,27.868852459016395
1678520307185986,650.1788869942644,6.96,27.868852459016395
1678520307197347,671.9415578173896,6.96,27.868852459016395
1678520307208821,671.9415578173896,6.96,27.868852459016395
1678520307220420,655.4624160025004,6.96,27.868852459016395
1678520307231783,655.4624160025004,6.96,27.868852459016395
1678520307243063,720.6047555779539,6.96,27.868852459016395
1678520307254402,720.6047555779539,6.96,27.868852459016395
1678520307265857,711.6548650544081,6.96,27.868852459016395
1678520307277263,711.6548650544081,6.96,27.868852459016395
1678520307288358,713.0825465549876,6.96,27.868852459016395
1678520307299623,713.0825465549876,6.96,27.868852459016395
1678520307311036,693.1740907638575,6.96,27.868852459016395
1678520307322259,693.1740907638575,6.96,27.868852459016395
1678520307333516,719.7638714105938,6.96,27.868852459016395
1678520307344573,719.7638714105938,6.96,27.868852459016395
1678520307355927,714.4916245528362,6.96,27.868852459016395
1678520307367268,746.3705601822194,6.96,27.868852459016395
1678520307378617,746.3705601822194,6.96,27.868852459016395
1678520307389735,722.3836588474389,6.96,27.868852459016395
1678520307401021,722.3836588474389,6.96,27.868852459016395
1678520307412194,748.1011664823601,6.96,27.868852459016395
1678520307423510,748.1011664823601,6.96,27.868852459016395
1678520307434768,739.9710666525528,6.96,27.868852459016395
1678520307445870,739.9710666525528,6.96,27.868852459016395
1678520307457230,760.7840671366555,6.96,27.868852459016395
1678520307468801,754.1542002301496,6.96,27.868852459016395
1678520307484651,754.1542002301496,6.96,27.868852459016395
1678520307496950,790.9701914735797,6.96,27.868852459016395
1678520307508192,804.7089520739803,6.96,27.868852459016395
1678520307519502,804.7089520739803,6.96,27.868852459016395
1678520307530656,839.857430817904,6.96,27.868852459016395
1678520307541970,839.857430817904,6.96,27.868852459016395
1678520307553015,773.7902025655848,6.96,27.868852459016395
1678520307564259,798.4486522158485,6.96,27.868852459016395
1678520307575360,798.4486522158485,6.96,27.868852459016395
1678520307586701,785.6169224429655,6.96,27.868852459016395
1678520307597870,785.6169224429655,6.96,27.868852459016395
1678520307609177,815.4941736121012,6.96,27.868852459016395
1678520307620439,786.0095198830628,6.96,27.868852459016395
1678520307631538,786.0095198830628,6.96,27.868852459016395
1678520307642846,832.7318932655654,6.96,27.868852459016395
1678520307653950,832.7318932655654,6.96,27.868852459016395
1678520307665189,839.375617045121,6.96,27.868852459016395
1678520307676349,827.3441691652201,6.96,27.868852459016395
1678520307687577,827.3441691652201,6.96,27.868852459016395
1678520307698742,798.8034687218293,6.96,27.868852459016395
1678520307710001,798.8034687218293,6.96,27.868852459016395
1678520307721218,821.4246918738249,6.96,27.868852459016395
1678520307732560,810.1491153519277,6.96,27.868852459016395
1678520307744091,810.1491153519277,6.96,27.868852459016395
1678520307755159,872.4440808176057,6.96,27.868852459016395
1678520307766377,872.4440808176057,6.96,27.868852459016395
1678520307777520,806.4935264709652,6.96,27.868852459016395
1678520307788807,830.2812273177169,6.96,27.868852459016395
1678520307799995,830.2812273177169,6.96,27.868852459016395
1678520307811202,815.5893181228935,6.96,27.868852459016395
1678520307822408,845.7167437358855,6.96,27.868852459016395
1678520307833646,845.7167437358855,6.96,27.868852459016395
1678520307844648,845.9100504201681,6.96,27.868852459016395
1678520307855929,845.9100504201681,6.96,27.868852459016395
1678520307867712,832.4344063827253,6.96,27.868852459016395
1678520307878800,828.7500493973523,6.96,27.868852459016395
1678520307890027,828.7500493973523,6.96,27.868852459016395
1678520307901085,850.1967567567567,6.96,27.868852459016395
1678520307912238,851.1859728874097,6.96,27.868852459016395
1678520307923768,851.1859728874097,6.96,27.868852459016395
1678520307934990,894.8166690371213,6.96,27.868852459016395
1678520307946051,894.8166690371213,6.96,27.868852459016395
1678520307957289,827.1375044371114,6.96,27.868852459016395
1678520307968565,855.2357131205481,6.96,27.868852459016395
1678520307979830,855.2357131205481,6.96,27.868852459016395
1678520307991183,844.003595240331,6.96,27.868852459016395
1678520308002366,892.6456775584909,6.96,27.868852459016395
1678520308013601,892.6456775584909,6.96,27.868852459016395
1678520308024801,833.228177519965,6.96,27.868852459016395
1678520308036014,833.228177519965,6.96,27.868852459016395
1678520308047586,854.0747176368375,6.96,27.868852459016395
1678520308058866,850.7831072766367,6.96,27.868852459016395
1678520308070106,850.7831072766367,6.96,27.868852459016395
1678520308081294,894.5749264172674,6.96,27.868852459016395
1678520308092368,840.4632833268765,6.96,27.868852459016395
1678520308103599,840.4632833268765,6.96,27.868852459016395
1678520308114988,866.6752992712796,6.96,27.868852459016395
1678520308126258,867.0455610374577,6.96,27.868852459016395
1678520308137540,867.0455610374577,6.96,27.868852459016395
1678520308148658,858.8783923988424,6.96,27.868852459016395
1678520308159896,858.8783923988424,6.96,27.868852459016395
1678520308171347,837.0304933212708,6.96,27.868852459016395
1678520308182571,877.7142857142857,6.96,27.868852459016395
1678520308193651,877.7142857142857,6.96,27.868852459016395
1678520308204863,869.273792417376,6.96,27.868852459016395
1678520308215922,858.7494369599934,6.96,27.868852459016395
1678520308227167,858.7494369599934,6.96,27.868852459016395
1678520308238209,845.0692420314577,6.96,27.868852459016395
1678520308249421,874.7731538771708,6.96,27.868852459016395
1678520308260690,874.7731538771708,6.96,27.868852459016395
1678520308271862,873.9468529914293,6.96,27.868852459016395
1678520308283065,873.9468529914293,6.96,27.868852459016395
1678520308294309,862.4221737878851,6.96,27.868852459016395
1678520308305513,846.4107841950196,6.96,27.868852459016395
1678520308316597,846.4107841950196,6.96,27.868852459016395
1678520308327778,884.0908899287551,6.96,27.868852459016395
1678520308338945,841.1374787758867,6.96,27.868852459016395
1678520308350155,841.1374787758867,6.96,27.868852459016395
1678520308361133,866.4485209056354,6.96,27.868852459016395
1678520308372351,848.7172361693804,6.96,27.868852459016395
1678520308383552,848.7172361693804,6.96,27.868852459016395
1678520308394667,918.1658445462771,6.96,27.868852459016395
1678520308405896,918.1658445462771,6.96,27.868852459016395
1678520308417460,831.9720712500496,6.96,27.868852459016395
1678520308428675,873.0978781276455,6.96,27.868852459016395
1678520308439742,873.0978781276455,6.96,27.868852459016395
1678520308450919,848.7057871307163,6.96,27.868852459016395
1678520308461910,921.406540618913,6.96,27.868852459016395
1678520308473124,921.406540618913,6.96,27.868852459016395
1678520308484172,843.6753741350641,6.96,27.868852459016395
1678520308495267,867.6434245366285,6.96,27.868852459016395
1678520308506355,867.6434245366285,6.96,27.868852459016395
1678520308517537,889.6666996620331,6.96,27.868852459016395
1678520308528720,877.5184110689578,6.96,27.868852459016395
1678520308539821,877.5184110689578,6.96,27.868852459016395
1678520308550986,843.6753741350641,6.96,27.868852459016395
1678520308561985,843.6753741350641,6.96,27.868852459016395
1678520308573198,868.8416284593713,6.96,27.868852459016395
1678520308584285,894.4858962693357,6.96,27.868852459016395
1678520308595381,894.4858962693357,6.96,27.868852459016395
1678520308606424,879.5056896021472,6.96,27.868852459016395
1678520308617614,845.0805931656995,6.96,27.868852459016395
1678520308628788,845.0805931656995,6.96,27.868852459016395
1678520308639969,903.5553640672124,6.96,27.868852459016395
1678520308651172,903.5553640672124,6.96,27.868852459016395
1678520308662430,838.9838509648082,6.96,27.868852459016395
1678520308673645,889.4780297460838,6.96,27.868852459016395
1678520308684738,889.4780297460838,6.96,27.868852459016395
1678520308695876,809.7841504382634,6.96,27.868852459016395
